propensity_decile,n_users,avg_propensity,min_propensity,max_propensity,observed_treatment_rate,selected_rate,avg_tau_profit,avg_coupon_cost
1,17500,0.2785262529506983,0.08696280761569053,0.3275550521245922,0.28045714285714285,0.16702857142857142,0.010641687202414214,0.8038127168745847
2,17500,0.35510951500507065,0.3275618692014095,0.3793390027807821,0.3521142857142857,0.1604,0.019155383655922488,0.7874239284047374
3,17500,0.39969245125568487,0.3793394299588161,0.4188063481623897,0.39531428571428573,0.1652,0.025323940575765286,0.7796951567552505
4,17500,0.4363859345866114,0.4188089993268041,0.45333215279132155,0.43382857142857145,0.15834285714285715,0.02897749996542237,0.7723273488340853
5,17500,0.4699502077040039,0.45333295172200694,0.486527797926344,0.4741714285714286,0.16474285714285714,0.032534004378284916,0.7667642233128051
6,17500,0.5027479223957034,0.48652889320379683,0.5191608688442463,0.4993142857142857,0.1612,0.03445512378562176,0.759501506789439
7,17500,0.5362835290793906,0.5191628143491486,0.5539883533251949,0.5391428571428571,0.16051428571428572,0.033987579523182106,0.7534377079292074
8,17500,0.5733337785204564,0.5539888259438028,0.5940539171592603,0.5730857142857143,0.1573142857142857,0.03308142251289743,0.7453503094117713
9,17500,0.6186919670403874,0.5940541169175992,0.647132033376644,0.6205142857142857,0.16417142857142858,0.026627578810938256,0.7371348950778743
10,17500,0.6990637673038091,0.6471395009245045,0.9032821130640857,0.7007428571428571,0.16131428571428572,-0.02364668236476026,0.7212661789153613
