decile,n_users,avg_predicted_tau_profit,avg_true_tau_profit,avg_dr_observed_tau_estimate,calibration_gap,avg_coupon_cost,selected_rate
1,17500,0.18763876671861135,0.20839448655502,0.20888136060487575,-0.020755719836408643,0.9142567337450977,1.0
2,17500,0.11261002242857548,0.1167467117673343,0.1215456229165872,-0.004136689338758812,0.8542816077164809,0.6064571428571428
3,17500,0.07783043516557261,0.07189015008088066,0.07077399209969593,0.005940285084691951,0.8197484128940318,0.013714285714285714
4,17500,0.051336811809604206,0.039987807428488516,0.02610574796449019,0.01134900438111569,0.7904653322284386,5.714285714285714e-05
5,17500,0.028510697872934733,0.015074547709805035,0.017485541011845063,0.013436150163129698,0.766557606972328,0.0
6,17500,0.007147418175507256,-0.0060234438629201996,-0.024451499176438834,0.013170862038427456,0.7437371139543844,0.0
7,17500,-0.014332165382460814,-0.025197218262137777,-0.01996724562915263,0.010865052879676963,0.7220569972109525,0.0
8,17500,-0.03764298592587787,-0.0448327314586051,-0.053889006623321765,0.007189745532727228,0.7006175138521475,0.0
9,17500,-0.06637340033026458,-0.061726045376344026,-0.04766154389001257,-0.004647354953920553,0.6766119136657405,0.0
10,17500,-0.11896316784772665,-0.09317672653583445,-0.10932582342556585,-0.0257864413118922,0.6383807400655177,0.0
